Symbol,Nazwa
4MB,4MOBILITY
7FT,7FIT
7LV,7LEVELS
AAS,AALLIANCE
ABK,ABAK
ADX,ADATEX
AER,AERFINANC
AFC,AKCEPTFIN
AFH,AFHOL
AGL,AGROLIGA
AGP,AGROMEP
AIN,ABSINVEST
AIT,AITON
AME,AMESA
AOL,ANALIZY
APA,APANET
APC,APOLLO
APS,APS
AQA,AQUAPOZ
AQT,AQUATECH
AQU,AQUABB
ARG,ARTGAMES
ARI,ARI
ASA,APIS
ASR,ASTRO
ATA,ATCCARGO
ATJ,ATOMJELLY
ATO,ATONHT
AUX,AUXILIA
AVE,ADVERTIGO
AZC,AZTEC
BAC,BACT
BEE,BEEIN
BEP,BIOMASS
BER,BIOERG
BGD,BIOGENED
BHX,BINARY
BIG,BASEIG
BKD,BKDGAMES
BLF,BELEAF
BLT,BALTICON
BPC,BPC
BPN,BLACKPOIN
BRH,BERGHOLDI
BRO,CZARNKOW
BRP,BLACKROSE
BSA,BRAS
BSH,BSH
BSN,BRAINSCAN
BTC,BTCSTUDIO
BTF,BTCS
BTK,BIZTECH
CAI,CARLSON
CBD,CANNABIS
CCR,CONSTANCE
CCS,CCS
CDA,CDA
CFG,CFG
CFS,CFSA
CHP,CHERRY
CLA,CONSOLE
CMC,COMECO
CMI,CMI
COR,COREY
COS,COSMA
CRB,CARBONSTU
CRC,CARPATHIA
CRP,CEREALPLT
CST,CSTORE
CTE,CTEGROUP
CTF,CENTURION
CWA,CONSOLEW
DDI,DDISTANCE
DEG,DETGAMES
DFH,DEFENCEH
DGN,DGNET
DGS,DEMGAMES
DIV,DIVOLIO
DKR,DEKTRA
DNS,DANKS
DPG,DARKPOINT
DRF,DRFINANCE
DRG,DRAGEUS
DTX,DITIX
DUA,DUALITY
EBX,EKOBOX
ECC,ECCGAMES
ECK,EUROSNACK
ECL,ECL
ECN,ECNOLOGY
ECT,ECO5TECH
EDL,EDITELPL
EEE,EKIPA
EFE,EFENERGII
EGH,EKOPOL
EGY,ENERGY
EKE,EKOOZE
EKS,EKIOSK
ELM,EMONT
ELQ,ELQ
EMP,EMPLOCITY
END,ENEIDA
EPR,EKOPARK
ERA,ERATONRG
ESG,ESHOPPING
ESK,ESKIMOS
ETX,EUROTAX
EUV,EUVIC
EXA,EXAMOBILE
EXC,EXCELLENC
EXM,EXIMIT
F51,FARM51
FAR,FARMINN
FEM,FEMTECH
FFP,FARMYFO
FHD,FHDOM
FIG,FIGENE
FKD,FABRYKAKD
FLG,FALCON
FOR,FOREVEREN
FOX,SPACEFOX
FPO,FORPOSTA
FRB,FORBUILD
FRM,FREEMIND
FRW,FROZENWAY
FTH,FINTECH
FTL,FOOTHILLS
FVE,FOTOVOLT
GAL,GALVO
GAR,GARIN
GDC,GAMEDUST
GDS,GDEVS
GEN,GENOMED
GHT,GAMEHUNT
GHY,GHYDROGEN
GKS,GKSKAT
GMB,GAMESBOX
GME,GRMEDIA
GMV,GAMIVO
GMZ,GRUPAMZ
GNG,GENRG
GNS,NIEWIADOW
GOL,GOLAB
GOV,GOVENA
GRC,GRUPAREC
GRE,GREENENER
GRL,GREENLANE
GRM,GREMPCO
GRZ,GREENZEB
GTF,GOTFI
GTS,GEOTRANS
GX1,GENXONE
HEN,HYENERGY
HER,HILANDER
HMP,HEMP
HOR,HORTICO
HPE,HIPOWERSA
HPG,HONEYPAY
HPM,HIPROMINE
HPS,HYDRAPRES
HRC,GRUPAHRC
HRL,HORNIGOLD
HRT,HURTIMEX
HUB,HUBTECH
IBC,IBCPOLSKA
ICD,ICPD
ICG,ICECODE
IDH,IDH
IFA,INFRA
IGT,IGORIA
IMG,IMMGAMES
IMR,INTM
INM,INVENTION
INS,INDOS
INT,INTERNITY
IPW,IMAGEPWR
ISD,INSIDPARK
IUS,IU
IVE,INVESTEKO
IVO,INCUVO
IWS,IRONWOLF
JJB,JUJUBEE
JRC,JRCGROUP
K2P,KOOL2PLAY
KBJ,KBJ
KBT,KLABATER
KLE,KLEPSYDRA
KLK,KOLEJKOWO
KLN,KLON
KME,KME
KOR,KORBANK
KPC,KUPIEC
KPI,KANCELWEC
KUB,KUBOTA
LBD,LOKATYBUD
LCN,LABOCANNA
LEG,LEGIMI
LET,LETUS
LGT,LGTRADE
LHD,LICHTHUND
LMG,LMGAMES
LTM,LTGAMES
LUD,LUDUS
LUG,LUG
LUK,LUKARDI
LUO,LUON
LXB,LEXBONO
M4B,M4B
MAD,MADKOM
MAZ,MAZOP
MBF,MBFGROUP
MCD,MYCODERN
MDA,MEDAPP
MDB,MEDICOBIO
MDP,MEDCAMP
MDT,MEDTECH
MER,MERA
MFD,MFOOD
MGS,MADNETIC
MIG,MILITARY
MLB,MAKOLAB
MLM,MILISYS
MLP,MILKPOL
MLT,MOONLIT
MMC,MMCPL
MMS,MADMIND
MND,MINERAL
MNS,MENNICASK
MO2,MOLIERA2
MPS,MEGAPIXEL
MPY,MPAY
MRD,MEDARD
MRG,MERLINGRP
MRH,HAMBURGER
MRK,MARKA
MSM,MSM
MTE,MTENERGIA
MTN,MILTON
MUN,MUNAR
MVR,MOVGAMVR
MXP,MAXIPIZZA
NFP,NFPL
NGD,NOGRVDEV
NOB,NOOBZ
NOV,NOVINA
NRS,NEURONE
NST,NESTMEDIC
NTS,NOTORIA
NTV,NTVSA
NWA,NWAI
NXB,NEXTBIKE
O2T,ONE2TRIBE
OLY,OLYMP
ONC,ONICO
ONE,1SOLUTION
OPI,OPTIGIS
ORG,ORGANIC
ORL,ORZLOPONY
OUT,OUTDOORZY
OVI,OVIDWORKS
OXY,OXYGEN
OZE,OZECAPITAL
P24,PRESENT24
P2B,PLANETB2B
P2C,P2CHILL
PAC,PROACTA
PBB,PREFABET
PBT,PBGAMES
PDG,PYRAMID
PFG,PREFAGRP
PGG,PROGUNSGR
PIT,POLARISIT
PIX,PIXELCROW
PLG,PLGROUP
PLI,PLATIGE
PLM,POLMAN
PLT,PLOTTWIST
PMG,PGMSA
PNT,POINTPACK
PNW,PLANTWEAR
PPG,PUNCHPUNK
PRA,PRIME
PRE,PRESIDENT
PRH,POLHOLROZ
PRN,PARTNER
PRO,PROMISE
PRS,PRYMUS
PSH,POLYSLASH
PSM,PLASMA
PTE,PARCELTEC
PTN,POLTRONIC
QON,QUARTICON
QRT,QUART
QUB,QUBICGMS
RAY,PURPLERAY
RBS,ROBINSON
RCA,ROCCA
RCM,REDCARPET
RCW,RUCHCHORZ
RDG,READGENE
RGL,ROBSGROUP
RNT,PRIVRNT
RRH,RRHGROUP
RSG,RSGAMES
RSP,REMORSOL
RST,ROAD
S4E,S4E
SBE,SOFTBLUE
SCS,STEMCELLS
SDG,SUNDRAGON
