Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
4Mobility SA,1.1,0,1.1,1.1,1.1,13,14,2026-03-30 10:04
7FIT SA,14.1,-4.73,14.6,14.1,14.6,91,1324,2026-03-30 14:35
7Levels SA,5.7,0,5.65,5.65,6.6,358,2036,2026-03-30 10:31
Abak SA,5,0,5,5,5,108,540,2026-03-30 09:16
ABS Investment ASI SA,1.23,2.5,1.2,1.11,1.33,8612,10084,2026-03-30 13:54
Adatex SA,1.11,0,1.11,1.11,1.11,100,111,2026-03-30 09:00
Advanced Medical Equipment SA,2.15,-3.15,2.22,2.14,2.23,2322,5077,2026-03-30 14:38
Advertigo SA,0.2,0,0.2,0.16,0.2,5015,928,2026-03-30 10:45
Aforti Holding SA w restrukturyzacji,2.5,0,0,0,0,0,0,2026-03-27
Agencja Rozwoju Innowacji SA,0.34,-9.47,0.38,0.34,0.38,20,7,2026-03-30 09:31
Agroliga Group plc,22.8,-1.72,22,22,22.8,55,1242,2026-03-30 10:52
Agromep SA,3.04,0,0,0,0,0,0,2026-03-27
Aiton Caldwell SA,0.29,0,0.29,0.29,0.29,100,29,2026-03-30 09:08
Akcept Finance SA,0.25,-1.6,0.25,0.25,0.25,1,0,2026-03-30 11:00
Analizy Online SA,25,-3.85,25,25,25,1000,25000,2026-03-30 10:34
Apanet SA,1,0,1,1,1,115,115,2026-03-30 09:47
Apis SA,0.02,0,0,0,0,0,0,2026-03-27
APN Promise SA,7.95,6,7.5,7.5,7.95,1461,11451,2026-03-30 14:55
Apollo Capital ASI SA,1,1.01,1,1,1,500,500,2026-03-30 11:00
AQT Water SA w likwidacji,0.11,0,0,0,0,0,0,2026-03-27
Aqua SA,8,-5.88,8,8,8,2,16,2026-03-30 09:00
Aqua SA,11,-0.9,11.1,11,11.5,61,679,2026-03-30 14:11
Art Games Studio SA,0.89,1.14,0.82,0.82,0.9,6750,5876,2026-03-30 14:54
Arts Alliance SA,5.6,0,0,0,0,0,0,2026-03-27
Astro SA,0.07,0,0,0,0,0,0,2026-03-27
ATC-Cargo SA,10.95,-0.45,10.6,10.55,10.95,1387,14719,2026-03-30 13:42
Atomic Jelly SA,1.73,4.22,1.67,1.67,1.79,5054,8591,2026-03-30 12:47
